material_name,category,unit,city,supplier_name,avg_price_sar,price_date,quality_grade
Rebar 60ksi (ton),Rebar 60ksi,ton,Jeddah,Saudi Cable,3683.24,2024-04-04,Premium
Rebar 60ksi (ton),Rebar 60ksi,ton,Jeddah,Saudi Plaster,3683.24,2024-01-17,Standard
Ready Mix Concrete (m3),Ready Mix Concrete,m3,Jeddah,Al-Yamama Steel,318.16,2024-06-22,Economy
Hollow Block (m2),Hollow Block,m2,Jeddah,Arabian Cement,35.44,2024-01-27,Standard
Hollow Block (m2),Hollow Block,m2,Jeddah,Siemens Saudi,35.44,2024-10-08,Standard
Porcelain Tiles (m2),Porcelain Tiles,m2,Jeddah,Al-Ghurair,58.7,2024-10-16,Standard
Marble (m2),Marble,m2,Jeddah,Saudi Technical Supply,170.4,2024-12-10,Standard
Marble (m2),Marble,m2,Jeddah,Southern Province Cement,170.4,2024-05-26,Standard
Paint (gallon),Paint,gal,Jeddah,Schneider Saudi,61.05,2024-11-12,Economy
Paint (gallon),Paint,gal,Jeddah,Otis Saudi,61.05,2024-02-07,Economy
Paint (gallon),Paint,gal,Jeddah,Schneider Saudi,61.05,2024-03-06,Economy
PVC Pipe 110mm (m),PVC Pipe 110mm,m,Jeddah,Saudi Technical Supply,24.09,2024-04-15,Premium
PVC Pipe 110mm (m),PVC Pipe 110mm,m,Jeddah,Safwa Cement,24.09,2024-11-01,Premium
Copper Pipe 15mm (m),Copper Pipe 15mm,m,Jeddah,Saudi Cable,27.76,2024-12-09,Economy
Copper Pipe 15mm (m),Copper Pipe 15mm,m,Jeddah,Al-Jabr Trading,27.76,2024-10-22,Standard
Electrical Cable 4mm (m),Electrical Cable 4mm,m,Jeddah,Yamama Cement,4.75,2024-06-18,Standard
Electrical Cable 4mm (m),Electrical Cable 4mm,m,Jeddah,Saudi Elevator,4.75,2024-01-03,Economy
Aluminum Window (m2),Aluminum Window,m2,Jeddah,National Ready Mix,701.99,2024-04-16,Premium
Aluminum Window (m2),Aluminum Window,m2,Jeddah,Qassim Cement,701.99,2024-03-09,Premium
Wooden Door (no),Wooden Door,no,Jeddah,Dubai Cable,1120.22,2024-01-13,Standard
Gypsum Board (m2),Gypsum Board,m2,Jeddah,Al-Madina Cement,36.55,2024-10-12,Standard
Steel Section (ton),Steel Section,ton,Jeddah,Al-Dabbagh Group,3928.84,2024-09-22,Economy
Steel Section (ton),Steel Section,ton,Jeddah,Otis Saudi,3928.84,2024-08-06,Economy
Glass (m2),Glass,m2,Jeddah,Schneider Saudi,165.23,2024-11-28,Standard
Glass (m2),Glass,m2,Jeddah,Safwa Cement,165.23,2024-10-15,Economy
Cement (ton),Cement,ton,Makkah,Qassim Cement,373.17,2024-10-21,Premium
Rebar 60ksi (ton),Rebar 60ksi,ton,Makkah,Saudi Glass,3539.49,2024-05-13,Economy
Ready Mix Concrete (m3),Ready Mix Concrete,m3,Makkah,Al-Safi Danone,294.7,2024-09-24,Premium
Ready Mix Concrete (m3),Ready Mix Concrete,m3,Makkah,Al-Zamil Steel,294.7,2024-11-09,Standard
Ready Mix Concrete (m3),Ready Mix Concrete,m3,Makkah,Bin Laden Group,294.7,2024-04-02,Economy
Hollow Block (m2),Hollow Block,m2,Makkah,ABB Saudi,34.16,2024-11-28,Standard
Hollow Block (m2),Hollow Block,m2,Makkah,National Ready Mix,34.16,2024-06-17,Economy
Porcelain Tiles (m2),Porcelain Tiles,m2,Makkah,Al-Wehaiby Co.,57.07,2024-09-10,Standard
Porcelain Tiles (m2),Porcelain Tiles,m2,Makkah,Saudi Modern Factory,57.07,2024-04-15,Premium
Marble (m2),Marble,m2,Makkah,Southern Province Cement,167.79,2024-05-16,Economy
Marble (m2),Marble,m2,Makkah,Al-Yamama Steel,167.79,2024-09-01,Premium
Paint (gallon),Paint,gal,Makkah,Al-Omran Group,59.76,2024-04-09,Economy
PVC Pipe 110mm (m),PVC Pipe 110mm,m,Makkah,Bin Laden Group,22.5,2024-05-18,Premium
PVC Pipe 110mm (m),PVC Pipe 110mm,m,Makkah,Al-Rajhi Steel,22.5,2024-12-24,Economy
Copper Pipe 15mm (m),Copper Pipe 15mm,m,Makkah,Saudi Technical Supply,26.47,2024-07-05,Premium
Copper Pipe 15mm (m),Copper Pipe 15mm,m,Makkah,Saudi Building Materials Co.,26.47,2024-05-17,Standard
Electrical Cable 4mm (m),Electrical Cable 4mm,m,Makkah,National Gypsum,4.64,2024-12-28,Standard
Aluminum Window (m2),Aluminum Window,m2,Makkah,Al-Zamil Steel,718.04,2024-05-20,Standard
Aluminum Window (m2),Aluminum Window,m2,Makkah,Yamama Cement,718.04,2024-06-21,Economy
Aluminum Window (m2),Aluminum Window,m2,Makkah,Bin Laden Group,718.04,2024-09-23,Premium
Wooden Door (no),Wooden Door,no,Makkah,Al-Wehaiby Co.,1123.84,2024-05-02,Standard
Wooden Door (no),Wooden Door,no,Makkah,Bin Laden Group,1123.84,2024-04-28,Standard
Wooden Door (no),Wooden Door,no,Makkah,Bin Laden Group,1123.84,2024-03-20,Standard
Gypsum Board (m2),Gypsum Board,m2,Makkah,National Gypsum,35.99,2024-05-21,Premium
Gypsum Board (m2),Gypsum Board,m2,Makkah,Saudi Technical Supply,35.99,2024-07-08,Economy
Steel Section (ton),Steel Section,ton,Makkah,Al-Yamama Steel,3922.91,2024-02-03,Standard
Steel Section (ton),Steel Section,ton,Makkah,Saudi Panel,3922.91,2024-10-04,Economy
Glass (m2),Glass,m2,Makkah,Al-Zamil Steel,168.6,2024-12-02,Economy
Glass (m2),Glass,m2,Makkah,Al-Rajhi Steel,168.6,2024-03-25,Standard
Glass (m2),Glass,m2,Makkah,Al-Muhaidib Group,168.6,2024-08-22,Premium
Cement (ton),Cement,ton,Madinah,Saudi Panel,392.56,2024-05-28,Economy
Rebar 60ksi (ton),Rebar 60ksi,ton,Madinah,Al-Madina Cement,3341.21,2024-07-26,Standard
Rebar 60ksi (ton),Rebar 60ksi,ton,Madinah,Al-Ghurair,3341.21,2024-10-10,Economy
Ready Mix Concrete (m3),Ready Mix Concrete,m3,Madinah,Al-Yamama Steel,288.33,2024-12-11,Standard
Hollow Block (m2),Hollow Block,m2,Madinah,Al-Omran Group,34.88,2024-07-22,Premium
Hollow Block (m2),Hollow Block,m2,Madinah,Al-Omran Group,34.88,2024-01-11,Economy
Porcelain Tiles (m2),Porcelain Tiles,m2,Madinah,Al-Zamil Steel,56.17,2024-09-01,Economy
Marble (m2),Marble,m2,Madinah,Al-Ghurair,160.75,2024-04-27,Premium
Paint (gallon),Paint,gal,Madinah,Arabian Pipes,59.68,2024-11-01,Standard
Paint (gallon),Paint,gal,Madinah,Saudi Cable,59.68,2024-04-11,Economy
PVC Pipe 110mm (m),PVC Pipe 110mm,m,Madinah,Al-Madina Cement,22.28,2024-09-12,Premium
Copper Pipe 15mm (m),Copper Pipe 15mm,m,Madinah,Saudi Ceramics,26.95,2024-05-13,Premium
Copper Pipe 15mm (m),Copper Pipe 15mm,m,Madinah,Saudi Modern Factory,26.95,2024-08-02,Standard
Electrical Cable 4mm (m),Electrical Cable 4mm,m,Madinah,Al-Jabr Trading,4.76,2024-04-02,Economy
Aluminum Window (m2),Aluminum Window,m2,Madinah,National Ready Mix,683.12,2024-08-24,Premium
Aluminum Window (m2),Aluminum Window,m2,Madinah,Safwa Cement,683.12,2024-06-09,Premium
Wooden Door (no),Wooden Door,no,Madinah,National Ready Mix,1077.65,2024-01-26,Standard
Wooden Door (no),Wooden Door,no,Madinah,Al-Safi Danone,1077.65,2024-01-21,Economy
Gypsum Board (m2),Gypsum Board,m2,Madinah,Saudi Chemical Co.,34.5,2024-06-25,Premium
Gypsum Board (m2),Gypsum Board,m2,Madinah,Southern Province Cement,34.5,2024-10-24,Economy
Gypsum Board (m2),Gypsum Board,m2,Madinah,National Ready Mix,34.5,2024-07-21,Standard
Steel Section (ton),Steel Section,ton,Madinah,Arabian Cement,3886.54,2024-05-21,Economy
Steel Section (ton),Steel Section,ton,Madinah,Saudi Panel,3886.54,2024-10-04,Economy
Glass (m2),Glass,m2,Madinah,Al-Yamama Steel,162.45,2024-09-27,Economy
Glass (m2),Glass,m2,Madinah,Al-Dabbagh Group,162.45,2024-04-21,Premium
Cement (ton),Cement,ton,Dammam,Al-Wehaiby Co.,377.12,2024-05-25,Economy
Cement (ton),Cement,ton,Dammam,Al-Ghurair,377.12,2024-03-14,Standard
Cement (ton),Cement,ton,Dammam,Saudi Technical Supply,377.12,2024-03-19,Economy
Rebar 60ksi (ton),Rebar 60ksi,ton,Dammam,Safwa Cement,3582.97,2024-12-08,Standard
Rebar 60ksi (ton),Rebar 60ksi,ton,Dammam,Al-Muhaidib Group,3582.97,2024-04-27,Premium
Rebar 60ksi (ton),Rebar 60ksi,ton,Dammam,Saudi Modern Factory,3582.97,2024-05-22,Premium
Ready Mix Concrete (m3),Ready Mix Concrete,m3,Dammam,Al-Safi Danone,291.6,2024-04-11,Standard
Hollow Block (m2),Hollow Block,m2,Dammam,Dubai Cable,35.3,2024-11-02,Premium
Porcelain Tiles (m2),Porcelain Tiles,m2,Dammam,Schneider Saudi,62.4,2024-09-18,Premium
Marble (m2),Marble,m2,Dammam,ABB Saudi,167.51,2024-10-11,Premium
Paint (gallon),Paint,gal,Dammam,National Gypsum,59.84,2024-04-17,Standard
Paint (gallon),Paint,gal,Dammam,Al-Jabr Trading,59.84,2024-02-18,Economy
Paint (gallon),Paint,gal,Dammam,Saudi Modern Factory,59.84,2024-10-14,Economy
PVC Pipe 110mm (m),PVC Pipe 110mm,m,Dammam,Sahara PVC,23.06,2024-10-09,Premium
PVC Pipe 110mm (m),PVC Pipe 110mm,m,Dammam,Safwa Cement,23.06,2024-11-04,Premium
PVC Pipe 110mm (m),PVC Pipe 110mm,m,Dammam,ABB Saudi,23.06,2024-12-09,Economy
Copper Pipe 15mm (m),Copper Pipe 15mm,m,Dammam,Al-Rajhi Steel,27.23,2024-10-25,Standard
Copper Pipe 15mm (m),Copper Pipe 15mm,m,Dammam,Al-Wehaiby Co.,27.23,2024-08-27,Economy
Electrical Cable 4mm (m),Electrical Cable 4mm,m,Dammam,Saudi Building Materials Co.,4.67,2024-05-03,Economy
Electrical Cable 4mm (m),Electrical Cable 4mm,m,Dammam,Siemens Saudi,4.67,2024-06-13,Standard
Aluminum Window (m2),Aluminum Window,m2,Dammam,Saudi Ceramics,682.39,2024-07-12,Premium
Aluminum Window (m2),Aluminum Window,m2,Dammam,Al-Ghurair,682.39,2024-07-11,Standard
Wooden Door (no),Wooden Door,no,Dammam,Saudi Ceramics,1146.97,2024-02-27,Standard
Wooden Door (no),Wooden Door,no,Dammam,Al-Muhaidib Group,1146.97,2024-05-05,Standard
Gypsum Board (m2),Gypsum Board,m2,Dammam,Al-Madina Cement,36.41,2024-07-04,Premium
Gypsum Board (m2),Gypsum Board,m2,Dammam,Safwa Cement,36.41,2024-09-28,Premium
Steel Section (ton),Steel Section,ton,Dammam,Yamama Cement,3941.94,2024-02-04,Standard
Steel Section (ton),Steel Section,ton,Dammam,Al-Safi Danone,3941.94,2024-04-18,Premium
Steel Section (ton),Steel Section,ton,Dammam,Qassim Cement,3941.94,2024-12-08,Standard
Glass (m2),Glass,m2,Dammam,Al-Safi Danone,158.5,2024-07-20,Premium
Glass (m2),Glass,m2,Dammam,Arabian Pipes,158.5,2024-11-18,Standard
Glass (m2),Glass,m2,Dammam,Arabian Pipes,158.5,2024-10-02,Premium
Cement (ton),Cement,ton,Khobar,Arabian Cement,418.03,2024-03-21,Standard
Rebar 60ksi (ton),Rebar 60ksi,ton,Khobar,Dubai Cable,3440.61,2024-07-06,Premium
Ready Mix Concrete (m3),Ready Mix Concrete,m3,Khobar,Saudi Chemical Co.,309.89,2024-10-19,Premium
Ready Mix Concrete (m3),Ready Mix Concrete,m3,Khobar,Al-Babtain Group,309.89,2024-08-01,Economy
Ready Mix Concrete (m3),Ready Mix Concrete,m3,Khobar,Bin Laden Group,309.89,2024-07-01,Standard
Hollow Block (m2),Hollow Block,m2,Khobar,Al-Safi Danone,35.01,2024-07-20,Premium
Hollow Block (m2),Hollow Block,m2,Khobar,Yamama Cement,35.01,2024-02-26,Economy
Hollow Block (m2),Hollow Block,m2,Khobar,Al-Jabr Trading,35.01,2024-09-15,Standard
Porcelain Tiles (m2),Porcelain Tiles,m2,Khobar,Al-Ghurair,63.75,2024-01-01,Premium
Marble (m2),Marble,m2,Khobar,Al-Fanar Group,180.4,2024-01-16,Premium
Paint (gallon),Paint,gal,Khobar,Al-Yamama Steel,63.07,2024-12-22,Economy
Paint (gallon),Paint,gal,Khobar,ABB Saudi,63.07,2024-10-15,Premium
Paint (gallon),Paint,gal,Khobar,Saudi Modern Factory,63.07,2024-03-18,Economy
PVC Pipe 110mm (m),PVC Pipe 110mm,m,Khobar,Schneider Saudi,23.26,2024-12-07,Economy
PVC Pipe 110mm (m),PVC Pipe 110mm,m,Khobar,National Ready Mix,23.26,2024-07-21,Standard
Copper Pipe 15mm (m),Copper Pipe 15mm,m,Khobar,Saudi Plaster,28.16,2024-09-14,Premium
Electrical Cable 4mm (m),Electrical Cable 4mm,m,Khobar,Al-Rajhi Steel,4.7,2024-08-02,Standard
Aluminum Window (m2),Aluminum Window,m2,Khobar,Saudi Elevator,734.92,2024-10-24,Premium
Aluminum Window (m2),Aluminum Window,m2,Khobar,Arabian Construction Supply,734.92,2024-07-11,Standard
Wooden Door (no),Wooden Door,no,Khobar,Al-Babtain Group,1133.57,2024-05-26,Standard
Gypsum Board (m2),Gypsum Board,m2,Khobar,Saudi Technical Supply,34.5,2024-03-16,Standard
Gypsum Board (m2),Gypsum Board,m2,Khobar,Saudi Cable,34.5,2024-07-26,Premium
Steel Section (ton),Steel Section,ton,Khobar,Southern Province Cement,4130.37,2024-10-15,Premium
Steel Section (ton),Steel Section,ton,Khobar,Sahara PVC,4130.37,2024-04-05,Economy
Glass (m2),Glass,m2,Khobar,Al-Rajhi Steel,175.37,2024-07-20,Standard
Glass (m2),Glass,m2,Khobar,Southern Province Cement,175.37,2024-03-04,Premium
Glass (m2),Glass,m2,Khobar,Saudi Modern Factory,175.37,2024-01-04,Standard
Cement (ton),Cement,ton,Taif,Saudi Cable,348.04,2024-01-04,Standard
Cement (ton),Cement,ton,Taif,Saudi Building Materials Co.,348.04,2024-03-19,Standard
Rebar 60ksi (ton),Rebar 60ksi,ton,Taif,Al-Madina Cement,3282.77,2024-11-14,Premium
Ready Mix Concrete (m3),Ready Mix Concrete,m3,Taif,Arabian Construction Supply,260.13,2024-09-28,Economy
Ready Mix Concrete (m3),Ready Mix Concrete,m3,Taif,ABB Saudi,260.13,2024-05-16,Premium
Ready Mix Concrete (m3),Ready Mix Concrete,m3,Taif,Al-Zamil Steel,260.13,2024-10-21,Premium
Hollow Block (m2),Hollow Block,m2,Taif,Saudi Glass,31.9,2024-05-23,Economy
Porcelain Tiles (m2),Porcelain Tiles,m2,Taif,Al-Safi Danone,56.02,2024-06-09,Standard
Porcelain Tiles (m2),Porcelain Tiles,m2,Taif,Arabian Construction Supply,56.02,2024-12-21,Economy
Porcelain Tiles (m2),Porcelain Tiles,m2,Taif,Southern Province Cement,56.02,2024-07-10,Economy
Marble (m2),Marble,m2,Taif,Al-Babtain Group,158.96,2024-07-23,Premium
Marble (m2),Marble,m2,Taif,Saudi Panel,158.96,2024-11-20,Standard
Paint (gallon),Paint,gal,Taif,Saudi Building Materials Co.,58.52,2024-07-23,Standard
PVC Pipe 110mm (m),PVC Pipe 110mm,m,Taif,Schneider Saudi,21.25,2024-05-20,Standard
PVC Pipe 110mm (m),PVC Pipe 110mm,m,Taif,Al-Madina Cement,21.25,2024-04-05,Premium
PVC Pipe 110mm (m),PVC Pipe 110mm,m,Taif,Saudi Cable,21.25,2024-12-07,Premium
Copper Pipe 15mm (m),Copper Pipe 15mm,m,Taif,Al-Jabr Trading,26.66,2024-02-16,Standard
Copper Pipe 15mm (m),Copper Pipe 15mm,m,Taif,Al-Yamama Steel,26.66,2024-10-18,Standard
Electrical Cable 4mm (m),Electrical Cable 4mm,m,Taif,Dubai Cable,4.32,2024-11-20,Economy
Electrical Cable 4mm (m),Electrical Cable 4mm,m,Taif,Al-Jabr Trading,4.32,2024-08-09,Premium
Aluminum Window (m2),Aluminum Window,m2,Taif,Kone Saudi,619.26,2024-05-26,Economy
Wooden Door (no),Wooden Door,no,Taif,Al-Safi Danone,1058.3,2024-01-26,Standard
Gypsum Board (m2),Gypsum Board,m2,Taif,Al-Madina Cement,31.32,2024-02-15,Standard
Steel Section (ton),Steel Section,ton,Taif,Al-Zamil Steel,3652.55,2024-11-08,Economy
Steel Section (ton),Steel Section,ton,Taif,ABB Saudi,3652.55,2024-07-25,Economy
Steel Section (ton),Steel Section,ton,Taif,Kone Saudi,3652.55,2024-10-23,Economy
Glass (m2),Glass,m2,Taif,Al-Omran Group,148.77,2024-08-27,Standard
Glass (m2),Glass,m2,Taif,Saudi Plaster,148.77,2024-05-21,Premium
Glass (m2),Glass,m2,Taif,Dubai Cable,148.77,2024-01-01,Economy
Cement (ton),Cement,ton,Abha,Al-Zamil Steel,337.68,2024-10-11,Premium
Rebar 60ksi (ton),Rebar 60ksi,ton,Abha,Al-Omran Group,3211.65,2024-12-28,Premium
Rebar 60ksi (ton),Rebar 60ksi,ton,Abha,Southern Province Cement,3211.65,2024-04-26,Economy
Ready Mix Concrete (m3),Ready Mix Concrete,m3,Abha,Otis Saudi,282.12,2024-12-18,Premium
Ready Mix Concrete (m3),Ready Mix Concrete,m3,Abha,National Ready Mix,282.12,2024-02-16,Premium
Hollow Block (m2),Hollow Block,m2,Abha,Schneider Saudi,32.55,2024-05-21,Premium
Hollow Block (m2),Hollow Block,m2,Abha,Al-Jabr Trading,32.55,2024-07-27,Economy
Porcelain Tiles (m2),Porcelain Tiles,m2,Abha,Siemens Saudi,53.24,2024-01-28,Economy
Porcelain Tiles (m2),Porcelain Tiles,m2,Abha,Al-Fanar Group,53.24,2024-04-04,Premium
Marble (m2),Marble,m2,Abha,Yamama Cement,147.95,2024-04-12,Economy
Marble (m2),Marble,m2,Abha,Safwa Cement,147.95,2024-12-07,Premium
Paint (gallon),Paint,gal,Abha,Al-Safi Danone,52.57,2024-01-23,Economy
Paint (gallon),Paint,gal,Abha,Schneider Saudi,52.57,2024-10-20,Standard
Paint (gallon),Paint,gal,Abha,Southern Province Cement,52.57,2024-04-21,Premium
PVC Pipe 110mm (m),PVC Pipe 110mm,m,Abha,Schneider Saudi,20.98,2024-12-19,Standard
PVC Pipe 110mm (m),PVC Pipe 110mm,m,Abha,Arabian Construction Supply,20.98,2024-11-02,Standard
PVC Pipe 110mm (m),PVC Pipe 110mm,m,Abha,Saudi Cable,20.98,2024-12-06,Economy
Copper Pipe 15mm (m),Copper Pipe 15mm,m,Abha,Otis Saudi,26.16,2024-03-19,Premium
Electrical Cable 4mm (m),Electrical Cable 4mm,m,Abha,Arabian Cement,3.97,2024-02-11,Economy
Electrical Cable 4mm (m),Electrical Cable 4mm,m,Abha,Yamama Cement,3.97,2024-06-09,Premium
Aluminum Window (m2),Aluminum Window,m2,Abha,Southern Province Cement,615.24,2024-12-17,Premium
Aluminum Window (m2),Aluminum Window,m2,Abha,Saudi Chemical Co.,615.24,2024-06-26,Economy
Wooden Door (no),Wooden Door,no,Abha,Safwa Cement,994.27,2024-02-19,Standard
Wooden Door (no),Wooden Door,no,Abha,Saudi Plaster,994.27,2024-04-25,Economy
Wooden Door (no),Wooden Door,no,Abha,Al-Yamama Steel,994.27,2024-04-20,Premium
Gypsum Board (m2),Gypsum Board,m2,Abha,Schneider Saudi,33.04,2024-12-20,Standard
Gypsum Board (m2),Gypsum Board,m2,Abha,Sahara PVC,33.04,2024-06-28,Standard
Steel Section (ton),Steel Section,ton,Abha,Al-Rajhi Steel,3427.54,2024-12-21,Standard
Steel Section (ton),Steel Section,ton,Abha,National Ready Mix,3427.54,2024-03-17,Economy
Glass (m2),Glass,m2,Abha,Saudi Elevator,145.61,2024-09-06,Economy
Glass (m2),Glass,m2,Abha,Otis Saudi,145.61,2024-06-15,Premium
Cement (ton),Cement,ton,Tabuk,Otis Saudi,346.46,2024-09-16,Economy
Cement (ton),Cement,ton,Tabuk,Sahara PVC,346.46,2024-05-03,Standard
Cement (ton),Cement,ton,Tabuk,Saudi Modern Factory,346.46,2024-01-22,Premium
Rebar 60ksi (ton),Rebar 60ksi,ton,Tabuk,Al-Wehaiby Co.,2932.94,2024-09-26,Premium
Rebar 60ksi (ton),Rebar 60ksi,ton,Tabuk,Qassim Cement,2932.94,2024-01-06,Economy
Ready Mix Concrete (m3),Ready Mix Concrete,m3,Tabuk,Saudi Modern Factory,253.47,2024-06-26,Premium
Ready Mix Concrete (m3),Ready Mix Concrete,m3,Tabuk,Al-Madina Cement,253.47,2024-01-11,Economy
Ready Mix Concrete (m3),Ready Mix Concrete,m3,Tabuk,Southern Province Cement,253.47,2024-01-27,Standard
Hollow Block (m2),Hollow Block,m2,Tabuk,National Gypsum,31.49,2024-10-08,Premium
Hollow Block (m2),Hollow Block,m2,Tabuk,Arabian Construction Supply,31.49,2024-07-19,Economy
Porcelain Tiles (m2),Porcelain Tiles,m2,Tabuk,Al-Madina Cement,52.21,2024-05-03,Premium
Marble (m2),Marble,m2,Tabuk,Saudi Panel,144.24,2024-07-10,Standard
Paint (gallon),Paint,gal,Tabuk,Al-Safi Danone,52.1,2024-07-08,Economy
PVC Pipe 110mm (m),PVC Pipe 110mm,m,Tabuk,Al-Yamama Steel,20.19,2024-01-05,Standard
PVC Pipe 110mm (m),PVC Pipe 110mm,m,Tabuk,Kone Saudi,20.19,2024-10-28,Premium
Copper Pipe 15mm (m),Copper Pipe 15mm,m,Tabuk,Saudi Plaster,24.09,2024-06-12,Standard
Electrical Cable 4mm (m),Electrical Cable 4mm,m,Tabuk,Saudi Panel,4.16,2024-09-26,Premium
Aluminum Window (m2),Aluminum Window,m2,Tabuk,National Gypsum,603.85,2024-06-17,Economy
Aluminum Window (m2),Aluminum Window,m2,Tabuk,Sahara PVC,603.85,2024-03-25,Premium
Wooden Door (no),Wooden Door,no,Tabuk,Arabian Cement,972.87,2024-10-19,Economy
Gypsum Board (m2),Gypsum Board,m2,Tabuk,Arabian Cement,30.24,2024-03-20,Economy
Gypsum Board (m2),Gypsum Board,m2,Tabuk,Al-Dabbagh Group,30.24,2024-06-08,Premium
Steel Section (ton),Steel Section,ton,Tabuk,Safwa Cement,3411.27,2024-07-24,Economy
Steel Section (ton),Steel Section,ton,Tabuk,Arabian Cement,3411.27,2024-02-28,Economy
Glass (m2),Glass,m2,Tabuk,Safwa Cement,141.64,2024-07-26,Standard
Cement (ton),Cement,ton,Buraydah,Al-Ghurair,366.79,2024-03-23,Economy
Cement (ton),Cement,ton,Buraydah,Al-Dabbagh Group,366.79,2024-11-25,Economy
Rebar 60ksi (ton),Rebar 60ksi,ton,Buraydah,Al-Madina Cement,3303.55,2024-07-06,Premium
Rebar 60ksi (ton),Rebar 60ksi,ton,Buraydah,Siemens Saudi,3303.55,2024-10-22,Economy
Rebar 60ksi (ton),Rebar 60ksi,ton,Buraydah,Bin Laden Group,3303.55,2024-04-08,Premium
Ready Mix Concrete (m3),Ready Mix Concrete,m3,Buraydah,Al-Dabbagh Group,274.59,2024-08-12,Economy
Ready Mix Concrete (m3),Ready Mix Concrete,m3,Buraydah,Al-Wehaiby Co.,274.59,2024-11-09,Premium
Ready Mix Concrete (m3),Ready Mix Concrete,m3,Buraydah,Safwa Cement,274.59,2024-08-11,Premium
Hollow Block (m2),Hollow Block,m2,Buraydah,Saudi Glass,34.34,2024-09-23,Standard
Porcelain Tiles (m2),Porcelain Tiles,m2,Buraydah,Saudi Building Materials Co.,56.33,2024-07-14,Economy
Porcelain Tiles (m2),Porcelain Tiles,m2,Buraydah,Saudi Glass,56.33,2024-11-13,Economy
Marble (m2),Marble,m2,Buraydah,Saudi Panel,153.68,2024-05-27,Standard
Marble (m2),Marble,m2,Buraydah,Al-Babtain Group,153.68,2024-11-22,Standard
Marble (m2),Marble,m2,Buraydah,Siemens Saudi,153.68,2024-12-22,Premium
