project_id,defect_type,severity,location,element_type,detected_by,confidence,status
SA-R00041,Honeycombing,Critical,Floor 3 - West Wing,Beam,Inspector,87,Resolved
SA-R00042,Spalling,High,Floor 58 - Zone B,Beam,Inspector,94,Verified
SA-R00043,Settlement Crack,Critical,Floor 2 - Core Area,Wall,AI,80,InProgress
SA-R00043,Spalling,High,Floor 4 - East Wing,Slab,Inspector,90,Verified
SA-R00043,Crack,Medium,Floor 5 - Zone B,Beam,Inspector,97,InProgress
SA-R00044,Settlement Crack,Critical,Floor 4 - Zone A,Foundation,Inspector,82,InProgress
SA-R00044,Corrosion,High,Floor 4 - Zone A,Beam,AI,98,Resolved
SA-R00046,Corrosion,High,Floor 1 - Zone B,Column,AI,83,Resolved
SA-R00046,Efflorescence,Critical,Floor 1 - Core Area,Slab,Inspector,94,InProgress
SA-R00047,Honeycombing,Medium,Floor 5 - Core Area,Beam,AI,79,Open
SA-R00047,Efflorescence,High,Floor 3 - East Wing,Wall,Inspector,93,Resolved
SA-R00048,Honeycombing,High,Floor 3 - Zone C,Column,Inspector,84,Verified
SA-R00048,Spalling,High,Floor 2 - Zone B,Slab,Inspector,80,Verified
SA-R00050,Efflorescence,Low,Floor 2 - Zone A,Slab,AI,87,Resolved
SA-R00050,Settlement Crack,High,Floor 7 - East Wing,Foundation,AI,94,Open
SA-R00050,Crack,Critical,Floor 4 - Zone B,Beam,Inspector,87,Resolved
SA-R00051,Settlement Crack,Critical,Floor 2 - Zone B,Foundation,AI,88,Verified
SA-R00052,Spalling,High,Floor 4 - Zone A,Beam,AI,99,Resolved
SA-R00053,Corrosion,High,Floor 7 - Zone C,Column,AI,90,Resolved
SA-R00053,Spalling,High,Floor 3 - Zone B,Column,AI,86,Resolved
SA-R00053,Spalling,High,Floor 1 - West Wing,Column,Inspector,83,Verified
SA-R00054,Corrosion,High,Floor 1 - East Wing,Beam,Inspector,98,Resolved
SA-R00054,Crack,High,Floor 1 - Core Area,Wall,Inspector,83,Resolved
SA-R00056,Spalling,High,Floor 2 - Zone B,Slab,AI,98,InProgress
SA-R00056,Corrosion,Critical,Floor 2 - Zone C,Foundation,Inspector,91,InProgress
SA-R00056,Spalling,High,Floor 1 - West Wing,Column,AI,86,Open
SA-R00057,Honeycombing,Critical,Floor 4 - East Wing,Column,AI,95,Verified
SA-R00057,Settlement Crack,Critical,Floor 2 - Zone A,Wall,Inspector,92,Verified
SA-R00057,Honeycombing,Medium,Floor 1 - West Wing,Wall,Inspector,78,Verified
SA-R00058,Settlement Crack,Critical,Floor 2 - Zone A,Foundation,AI,82,InProgress
SA-R00059,Corrosion,High,Floor 1 - Zone A,Foundation,Inspector,90,Verified
SA-R00060,Crack,Medium,Floor 15 - East Wing,Beam,Inspector,85,InProgress
SA-R00060,Crack,Critical,Floor 3 - East Wing,Column,AI,96,InProgress
SA-R00062,Corrosion,High,Floor 2 - Zone B,Column,Inspector,80,InProgress
SA-R00062,Efflorescence,Low,Floor 1 - Zone B,Wall,AI,97,Resolved
SA-R00062,Spalling,Critical,Floor 2 - Zone A,Column,Inspector,95,Resolved
SA-R00063,Corrosion,High,Floor 35 - Zone C,Foundation,Inspector,91,Resolved
SA-R00064,Corrosion,High,Floor 1 - Core Area,Column,AI,82,Verified
SA-R00066,Efflorescence,High,Floor 1 - West Wing,Wall,AI,89,Resolved
SA-R00066,Spalling,High,Floor 1 - Zone B,Column,AI,93,Verified
SA-R00066,Crack,Medium,Floor 1 - Zone A,Wall,Inspector,85,Resolved
SA-R00067,Crack,Medium,Floor 4 - Core Area,Beam,Inspector,86,Open
SA-R00067,Efflorescence,Low,Floor 2 - East Wing,Slab,AI,94,Open
SA-R00067,Corrosion,High,Floor 3 - Zone A,Foundation,AI,80,InProgress
SA-R00068,Crack,Critical,Floor 2 - West Wing,Slab,Inspector,75,Verified
SA-R00069,Settlement Crack,Critical,Floor 1 - Zone C,Wall,Inspector,96,Open
SA-R00070,Crack,Medium,Floor 1 - Zone C,Column,AI,98,Resolved
SA-R00070,Honeycombing,Medium,Floor 1 - Zone A,Wall,Inspector,82,Verified
SA-R00070,Honeycombing,Medium,Floor 1 - West Wing,Wall,AI,80,InProgress
SA-R00071,Crack,Medium,Floor 4 - Zone B,Slab,Inspector,87,Resolved
SA-R00071,Corrosion,High,Floor 4 - Zone C,Foundation,AI,94,InProgress
SA-R00072,Crack,Medium,Floor 1 - West Wing,Wall,Inspector,87,InProgress
SA-R00072,Crack,Medium,Floor 1 - West Wing,Wall,Inspector,85,Resolved
SA-R00073,Corrosion,High,Floor 4 - East Wing,Foundation,Inspector,88,InProgress
SA-R00075,Crack,Medium,Floor 2 - Zone A,Column,Inspector,75,Verified
SA-R00076,Efflorescence,High,Floor 11 - Zone A,Slab,AI,99,Verified
SA-R00076,Settlement Crack,Critical,Floor 8 - Zone A,Wall,Inspector,77,InProgress
SA-R00077,Spalling,High,Floor 4 - West Wing,Beam,AI,78,Open
SA-R00078,Corrosion,High,Floor 1 - Zone A,Foundation,AI,92,Resolved
SA-R00078,Settlement Crack,Critical,Floor 4 - Zone C,Wall,AI,75,Resolved
SA-R00080,Crack,Medium,Floor 1 - East Wing,Slab,Inspector,93,Verified
SA-R00081,Efflorescence,High,Floor 1 - Zone B,Slab,Inspector,87,Resolved
SA-R00081,Settlement Crack,Critical,Floor 3 - Core Area,Wall,Inspector,86,Verified
SA-R00081,Spalling,High,Floor 3 - Core Area,Beam,Inspector,92,InProgress
SA-R00087,Corrosion,High,Floor 4 - Zone C,Beam,Inspector,94,Resolved
SA-R00087,Efflorescence,Low,Floor 3 - Zone B,Wall,Inspector,85,Verified
SA-R00089,Efflorescence,Low,Floor 31 - Zone C,Wall,AI,95,Verified
SA-R00089,Spalling,High,Floor 29 - Zone A,Beam,AI,87,Open
SA-R00089,Efflorescence,Low,Floor 33 - East Wing,Wall,AI,90,Open
SA-R00090,Efflorescence,High,Floor 1 - Core Area,Wall,AI,76,Resolved
SA-R00090,Honeycombing,Medium,Floor 1 - Zone A,Beam,Inspector,82,Resolved
SA-R00090,Spalling,High,Floor 1 - Zone C,Column,Inspector,97,Resolved
SA-R00091,Corrosion,High,Floor 3 - Zone C,Foundation,Inspector,91,Open
SA-R00091,Efflorescence,Low,Floor 1 - Zone B,Slab,AI,93,Resolved
SA-R00091,Efflorescence,Low,Floor 4 - Zone B,Wall,Inspector,80,Verified
SA-R00092,Corrosion,High,Floor 3 - Zone C,Column,Inspector,76,Open
SA-R00092,Corrosion,High,Floor 3 - West Wing,Foundation,Inspector,89,Open
SA-R00092,Spalling,High,Floor 3 - Core Area,Slab,Inspector,80,Verified
SA-R00093,Honeycombing,High,Floor 1 - Zone C,Wall,AI,88,InProgress
SA-R00093,Honeycombing,Medium,Floor 1 - Core Area,Wall,AI,82,Verified
SA-R00093,Settlement Crack,High,Floor 1 - Zone B,Wall,Inspector,76,Resolved
SA-R00094,Spalling,High,Floor 1 - West Wing,Column,Inspector,84,Open
SA-R00094,Crack,Medium,Floor 3 - East Wing,Column,Inspector,85,Verified
SA-R00095,Spalling,High,Floor 2 - West Wing,Beam,AI,99,InProgress
SA-R00095,Corrosion,High,Floor 1 - Zone A,Beam,AI,81,InProgress
SA-R00095,Settlement Crack,High,Floor 2 - Zone C,Wall,Inspector,94,InProgress
SA-R00096,Settlement Crack,Critical,Floor 2 - Zone B,Wall,AI,79,InProgress
SA-R00096,Honeycombing,Medium,Floor 2 - Core Area,Beam,Inspector,91,Resolved
SA-R00096,Honeycombing,Medium,Floor 2 - Zone B,Column,AI,76,Resolved
SA-R00097,Spalling,High,Floor 1 - East Wing,Column,Inspector,86,InProgress
SA-R00097,Settlement Crack,Critical,Floor 2 - Core Area,Wall,AI,82,Verified
SA-R00098,Settlement Crack,Critical,Floor 1 - West Wing,Wall,Inspector,76,Open
SA-R00098,Crack,Medium,Floor 1 - Zone B,Wall,AI,90,Open
SA-R00098,Corrosion,High,Floor 1 - Core Area,Column,AI,85,InProgress
SA-R00100,Honeycombing,Medium,Floor 16 - Core Area,Wall,Inspector,79,Verified
SA-R00100,Efflorescence,Low,Floor 7 - Zone C,Slab,AI,87,Resolved
SA-R00100,Crack,Medium,Floor 23 - Zone C,Wall,Inspector,87,InProgress
SA-R00101,Corrosion,High,Floor 5 - Zone B,Beam,AI,77,Resolved
SA-R00101,Efflorescence,Low,Floor 5 - Core Area,Wall,Inspector,96,Open
SA-R00104,Corrosion,High,Floor 4 - Zone A,Column,Inspector,97,Verified
SA-R00104,Settlement Crack,High,Floor 4 - Core Area,Foundation,AI,93,Resolved
SA-R00105,Efflorescence,Low,Floor 1 - Core Area,Slab,Inspector,86,Resolved
SA-R00105,Efflorescence,High,Floor 2 - West Wing,Slab,Inspector,75,InProgress
SA-R00106,Spalling,High,Floor 11 - Zone B,Column,Inspector,76,Open
SA-R00107,Crack,Medium,Floor 1 - East Wing,Slab,AI,88,Verified
SA-R00108,Honeycombing,Medium,Floor 10 - Zone B,Beam,AI,91,Resolved
SA-R00108,Corrosion,Critical,Floor 8 - Zone A,Foundation,Inspector,84,Open
SA-R00109,Settlement Crack,Critical,Floor 2 - Zone C,Wall,AI,83,Open
SA-R00109,Spalling,High,Floor 2 - Zone B,Slab,AI,93,Resolved
SA-R00109,Spalling,High,Floor 1 - Core Area,Beam,Inspector,87,Verified
SA-R00110,Settlement Crack,Critical,Floor 1 - West Wing,Foundation,Inspector,85,Resolved
SA-R00110,Efflorescence,High,Floor 2 - West Wing,Wall,Inspector,83,Verified
SA-R00112,Spalling,High,Floor 2 - Zone A,Slab,Inspector,94,Resolved
SA-R00112,Efflorescence,Low,Floor 2 - Zone A,Slab,Inspector,86,Verified
SA-R00113,Crack,Medium,Floor 7 - Core Area,Beam,AI,97,Open
SA-R00113,Crack,Medium,Floor 10 - Core Area,Slab,AI,77,Resolved
SA-R00114,Crack,Medium,Floor 2 - Core Area,Wall,AI,88,Verified
SA-R00114,Settlement Crack,Critical,Floor 2 - Zone A,Wall,AI,83,InProgress
SA-R00114,Efflorescence,Low,Floor 4 - Zone A,Wall,Inspector,91,Resolved
SA-R00115,Spalling,High,Floor 2 - East Wing,Beam,Inspector,99,Open
SA-R00115,Honeycombing,Medium,Floor 2 - West Wing,Wall,Inspector,83,Resolved
SA-R00116,Crack,Critical,Floor 3 - Zone B,Slab,AI,85,Verified
SA-R00118,Efflorescence,Low,Floor 3 - Zone A,Slab,Inspector,98,Open
SA-R00118,Efflorescence,Low,Floor 4 - Core Area,Wall,Inspector,81,Verified
SA-R00119,Efflorescence,Low,Floor 3 - West Wing,Slab,Inspector,97,Open
SA-R00119,Corrosion,High,Floor 3 - Zone B,Column,Inspector,85,Resolved
SA-R00119,Efflorescence,Low,Floor 4 - West Wing,Wall,AI,94,Resolved
SA-R00120,Spalling,High,Floor 1 - West Wing,Beam,Inspector,94,Verified
SA-R00120,Honeycombing,Medium,Floor 2 - Zone C,Wall,Inspector,77,Verified
SA-R00121,Settlement Crack,Critical,Floor 1 - West Wing,Foundation,AI,96,Open
SA-R00121,Efflorescence,Critical,Floor 1 - Zone B,Slab,Inspector,95,InProgress
SA-R00121,Corrosion,High,Floor 2 - Zone C,Beam,Inspector,88,Verified
SA-R00122,Spalling,High,Floor 5 - West Wing,Beam,Inspector,85,Resolved
SA-R00122,Honeycombing,Medium,Floor 5 - Zone A,Column,Inspector,84,Verified
SA-R00122,Corrosion,High,Floor 3 - West Wing,Beam,AI,89,Open
SA-R00123,Corrosion,Critical,Floor 17 - Zone A,Column,Inspector,85,Verified
SA-R00123,Crack,Medium,Floor 1 - Core Area,Slab,Inspector,90,Resolved
SA-R00123,Settlement Crack,Critical,Floor 9 - Core Area,Wall,AI,88,Verified
SA-R00125,Settlement Crack,Critical,Floor 1 - Zone B,Foundation,Inspector,99,InProgress
SA-R00125,Crack,Medium,Floor 2 - East Wing,Beam,Inspector,93,Resolved
SA-R00125,Spalling,High,Floor 2 - Zone A,Column,AI,86,InProgress
SA-R00127,Honeycombing,Medium,Floor 3 - East Wing,Beam,Inspector,75,InProgress
SA-R00129,Crack,Medium,Floor 2 - Zone A,Wall,AI,89,Open
SA-R00129,Spalling,High,Floor 2 - Core Area,Slab,AI,85,Resolved
SA-R00130,Honeycombing,Medium,Floor 7 - Core Area,Column,AI,87,Verified
SA-R00130,Efflorescence,High,Floor 1 - Core Area,Wall,AI,90,Verified
SA-R00130,Efflorescence,Low,Floor 6 - Zone B,Slab,AI,97,Resolved
SA-R00131,Crack,Critical,Floor 3 - East Wing,Wall,AI,91,Verified
SA-R00132,Crack,Critical,Floor 3 - East Wing,Slab,AI,92,InProgress
SA-R00132,Honeycombing,Medium,Floor 4 - West Wing,Beam,AI,79,Verified
SA-R00133,Efflorescence,Low,Floor 1 - West Wing,Wall,AI,94,Open
SA-R00133,Crack,Medium,Floor 1 - East Wing,Slab,AI,87,Open
SA-R00135,Honeycombing,Medium,Floor 14 - East Wing,Beam,AI,84,Open
SA-R00135,Spalling,Critical,Floor 9 - Core Area,Slab,Inspector,98,Verified
SA-R00136,Crack,Medium,Floor 1 - Zone C,Slab,AI,75,Open
SA-R00136,Spalling,High,Floor 1 - Zone A,Slab,AI,80,Resolved
SA-R00136,Crack,Medium,Floor 1 - Zone A,Beam,AI,84,Resolved
SA-R00137,Efflorescence,Low,Floor 12 - Zone C,Slab,Inspector,92,InProgress
SA-R00137,Honeycombing,Medium,Floor 1 - East Wing,Beam,AI,91,Resolved
SA-R00139,Crack,Medium,Floor 3 - Zone B,Beam,AI,83,Resolved
SA-R00139,Efflorescence,Low,Floor 3 - Zone C,Wall,AI,88,Resolved
SA-R00139,Settlement Crack,Critical,Floor 2 - Zone B,Foundation,AI,82,Open
SA-R00140,Honeycombing,Medium,Floor 5 - Zone C,Wall,AI,95,Resolved
SA-R00140,Crack,Medium,Floor 1 - Zone C,Beam,AI,75,InProgress
SA-R00140,Efflorescence,Low,Floor 4 - Core Area,Slab,Inspector,76,InProgress
SA-R00141,Spalling,High,Floor 1 - Zone C,Column,Inspector,75,Open
SA-R00141,Settlement Crack,Critical,Floor 2 - Core Area,Foundation,AI,91,Open
SA-R00142,Efflorescence,Low,Floor 1 - West Wing,Slab,Inspector,92,Resolved
SA-R00142,Efflorescence,Low,Floor 1 - Zone B,Wall,AI,79,Open
SA-R00143,Crack,Medium,Floor 2 - Zone C,Wall,Inspector,89,InProgress
SA-R00144,Honeycombing,High,Floor 2 - Zone B,Beam,AI,97,InProgress
SA-R00144,Crack,Medium,Floor 4 - Zone B,Column,Inspector,81,Verified
SA-R00146,Honeycombing,Medium,Floor 20 - West Wing,Column,Inspector,98,InProgress
SA-R00147,Efflorescence,Low,Floor 3 - Zone A,Wall,AI,88,Resolved
SA-R00147,Corrosion,High,Floor 4 - Zone C,Column,Inspector,84,Resolved
SA-R00148,Honeycombing,High,Floor 1 - Zone A,Column,AI,77,Verified
SA-R00150,Spalling,High,Floor 2 - East Wing,Column,AI,83,Resolved
SA-R00150,Corrosion,High,Floor 3 - Zone A,Foundation,Inspector,89,InProgress
SA-R00152,Crack,Critical,Floor 2 - Core Area,Beam,AI,89,Open
SA-R00153,Efflorescence,Low,Floor 2 - West Wing,Slab,AI,82,Verified
SA-R00153,Efflorescence,Low,Floor 3 - Core Area,Slab,Inspector,80,Open
SA-R00154,Efflorescence,Critical,Floor 1 - Zone B,Slab,AI,87,Verified
SA-R00155,Honeycombing,Medium,Floor 3 - Zone B,Wall,AI,76,Resolved
SA-R00155,Settlement Crack,Critical,Floor 1 - West Wing,Foundation,Inspector,83,Resolved
SA-R00155,Efflorescence,High,Floor 3 - Zone B,Wall,AI,91,InProgress
SA-R00156,Corrosion,High,Floor 6 - West Wing,Beam,AI,97,Verified
SA-R00157,Corrosion,High,Floor 2 - West Wing,Foundation,Inspector,76,Open
SA-R00158,Crack,Medium,Floor 1 - Zone A,Beam,AI,93,Open
SA-R00158,Crack,Medium,Floor 2 - West Wing,Slab,Inspector,84,Verified
SA-R00161,Settlement Crack,High,Floor 10 - Zone B,Foundation,Inspector,82,Resolved
SA-R00161,Corrosion,High,Floor 7 - East Wing,Foundation,Inspector,89,Verified
SA-R00161,Settlement Crack,Critical,Floor 4 - West Wing,Wall,Inspector,77,InProgress
SA-R00163,Settlement Crack,Critical,Floor 1 - Core Area,Foundation,AI,82,Open
SA-R00163,Honeycombing,Medium,Floor 1 - East Wing,Beam,AI,94,Open
SA-R00163,Settlement Crack,Critical,Floor 1 - Zone A,Foundation,Inspector,92,InProgress
SA-R00164,Spalling,Critical,Floor 1 - Core Area,Slab,AI,78,InProgress
SA-R00165,Spalling,High,Floor 32 - Zone A,Slab,Inspector,81,Verified
SA-R00166,Efflorescence,Low,Floor 2 - Zone B,Slab,Inspector,90,InProgress
SA-R00166,Efflorescence,Low,Floor 2 - East Wing,Slab,AI,90,Resolved
SA-R00168,Efflorescence,High,Floor 3 - West Wing,Slab,AI,96,InProgress
SA-R00168,Honeycombing,Medium,Floor 8 - Core Area,Wall,AI,83,Verified
SA-R00168,Honeycombing,Medium,Floor 3 - West Wing,Column,Inspector,77,Open
SA-R00169,Settlement Crack,Critical,Floor 2 - Zone C,Wall,AI,95,Resolved
SA-R00169,Crack,Medium,Floor 2 - Zone B,Slab,Inspector,90,Open
SA-R00170,Corrosion,Critical,Floor 2 - Zone C,Foundation,AI,90,Verified
SA-R00170,Spalling,Critical,Floor 2 - Core Area,Beam,Inspector,98,InProgress
SA-R00170,Corrosion,High,Floor 1 - East Wing,Beam,Inspector,79,Verified
SA-R00171,Efflorescence,Low,Floor 7 - Zone C,Slab,AI,92,Verified
SA-R00172,Efflorescence,Low,Floor 4 - West Wing,Slab,AI,94,InProgress
SA-R00172,Corrosion,High,Floor 1 - East Wing,Beam,Inspector,78,Verified
SA-R00172,Spalling,High,Floor 4 - Zone C,Slab,Inspector,90,InProgress
SA-R00173,Honeycombing,Medium,Floor 2 - Zone A,Wall,Inspector,95,Resolved
SA-R00173,Efflorescence,Low,Floor 2 - West Wing,Slab,AI,91,InProgress
SA-R00173,Spalling,High,Floor 1 - Zone C,Beam,AI,94,Resolved
SA-R00174,Settlement Crack,High,Floor 1 - West Wing,Foundation,Inspector,95,Verified
SA-R00174,Corrosion,High,Floor 2 - West Wing,Beam,Inspector,95,Verified
SA-R00174,Crack,Medium,Floor 2 - West Wing,Column,AI,94,Open
SA-R00175,Crack,Medium,Floor 2 - East Wing,Beam,Inspector,96,Open
SA-R00176,Crack,Medium,Floor 3 - Zone A,Beam,AI,83,Open
SA-R00177,Crack,Medium,Floor 2 - Zone B,Beam,AI,94,Verified
SA-R00178,Honeycombing,Critical,Floor 1 - Zone B,Column,Inspector,85,InProgress
SA-R00178,Corrosion,High,Floor 1 - West Wing,Column,Inspector,96,Resolved
SA-R00179,Honeycombing,Medium,Floor 1 - Zone C,Wall,Inspector,94,Resolved
SA-R00179,Honeycombing,Medium,Floor 1 - East Wing,Beam,AI,83,Open
SA-R00179,Corrosion,High,Floor 1 - Zone C,Foundation,AI,81,Verified
SA-R00181,Corrosion,High,Floor 2 - Zone B,Beam,AI,93,InProgress
SA-R00182,Corrosion,High,Floor 1 - East Wing,Column,AI,84,Verified
SA-R00182,Honeycombing,Medium,Floor 1 - West Wing,Beam,Inspector,81,Verified
SA-R00182,Spalling,High,Floor 1 - East Wing,Beam,Inspector,76,Resolved
SA-R00183,Settlement Crack,Critical,Floor 1 - East Wing,Foundation,Inspector,97,Verified
SA-R00183,Honeycombing,Medium,Floor 3 - East Wing,Wall,Inspector,79,InProgress
SA-R00185,Settlement Crack,Critical,Floor 4 - East Wing,Wall,AI,90,InProgress
SA-R00185,Corrosion,High,Floor 3 - West Wing,Column,AI,93,Open
SA-R00186,Crack,Medium,Floor 1 - Zone A,Slab,AI,84,InProgress
SA-R00186,Honeycombing,Medium,Floor 2 - East Wing,Wall,Inspector,83,InProgress
SA-R00187,Honeycombing,Medium,Floor 1 - Zone A,Column,AI,84,Open
SA-R00187,Settlement Crack,Critical,Floor 1 - Zone C,Wall,AI,79,Open
SA-R00188,Settlement Crack,Critical,Floor 1 - Zone C,Foundation,Inspector,98,InProgress
SA-R00190,Corrosion,Critical,Floor 13 - East Wing,Foundation,AI,85,Resolved
SA-R00191,Honeycombing,Medium,Floor 2 - West Wing,Beam,AI,91,InProgress
SA-R00191,Spalling,High,Floor 1 - Zone A,Slab,Inspector,75,InProgress
SA-R00191,Crack,High,Floor 1 - East Wing,Slab,AI,81,Resolved
SA-R00192,Settlement Crack,Critical,Floor 2 - Zone B,Wall,AI,76,Open
SA-R00192,Honeycombing,Medium,Floor 2 - Zone B,Wall,Inspector,98,InProgress
SA-R00192,Efflorescence,High,Floor 3 - Zone C,Wall,AI,91,Verified
SA-R00194,Crack,High,Floor 9 - Core Area,Beam,Inspector,83,Resolved
SA-R00194,Honeycombing,Medium,Floor 8 - West Wing,Beam,Inspector,84,Verified
SA-R00194,Corrosion,Critical,Floor 5 - Zone B,Column,AI,92,Open
SA-R00195,Crack,Medium,Floor 1 - East Wing,Column,AI,78,Open
SA-R00196,Corrosion,High,Floor 8 - West Wing,Foundation,AI,86,Open
