trade,city,daily_rate_sar,year
Tiler,Taif,181.4,2024
Tiler,Abha,167.6,2025
Tiler,Tabuk,163.7,2023
Tiler,Buraydah,182.7,2023
Tiler,Khamis Mushait,163.1,2024
Tiler,Najran,158.4,2023
Tiler,Hail,171.1,2023
Plumber,Riyadh,248,2025
Plumber,Jeddah,239.4,2024
Plumber,Makkah,231,2025
Plumber,Madinah,227.6,2024
Plumber,Dammam,231.7,2023
Plumber,Khobar,232.3,2024
Plumber,Taif,216.6,2023
Plumber,Abha,207,2024
Plumber,Tabuk,208.3,2024
Plumber,Buraydah,221.3,2023
Plumber,Khamis Mushait,196.8,2024
Plumber,Najran,194.9,2024
Plumber,Hail,203.4,2024
Electrician,Riyadh,265.1,2025
Electrician,Jeddah,240.4,2025
Electrician,Makkah,241.8,2025
Electrician,Madinah,247.4,2024
Electrician,Dammam,242.6,2024
Electrician,Khobar,251.6,2023
Electrician,Taif,223.3,2023
Electrician,Abha,215,2025
Electrician,Tabuk,209.1,2023
Electrician,Buraydah,234,2023
Electrician,Khamis Mushait,207.4,2023
Electrician,Najran,194.6,2023
Electrician,Hail,214.9,2025
HVAC Technician,Riyadh,288.5,2023
HVAC Technician,Jeddah,271.7,2025
HVAC Technician,Makkah,265.9,2024
HVAC Technician,Madinah,244.5,2023
HVAC Technician,Dammam,259.6,2023
HVAC Technician,Khobar,275.2,2023
HVAC Technician,Taif,240.1,2023
HVAC Technician,Abha,236.9,2024
HVAC Technician,Tabuk,218.8,2025
HVAC Technician,Buraydah,242.6,2025
HVAC Technician,Khamis Mushait,225.4,2025
HVAC Technician,Najran,209,2025
HVAC Technician,Hail,228.2,2025
Welder,Riyadh,304.2,2024
Welder,Jeddah,283.6,2025
Welder,Makkah,270.4,2023
Welder,Madinah,267.4,2024
Welder,Dammam,283,2025
Welder,Khobar,294.8,2024
Welder,Taif,258.2,2025
Welder,Abha,246.2,2023
Welder,Tabuk,249.5,2025
Welder,Buraydah,271.9,2024
Welder,Khamis Mushait,231.5,2024
Welder,Najran,241.2,2024
Welder,Hail,243.6,2025
Crane Operator,Riyadh,458.8,2023
Crane Operator,Jeddah,430.9,2023
Crane Operator,Makkah,389.9,2025
Crane Operator,Madinah,422,2025
Crane Operator,Dammam,443.5,2025
Crane Operator,Khobar,430,2024
Crane Operator,Taif,384.4,2025
Crane Operator,Abha,358.9,2023
Crane Operator,Tabuk,361.8,2023
Crane Operator,Buraydah,386.7,2025
Crane Operator,Khamis Mushait,358.5,2025
Crane Operator,Najran,328.2,2025
Crane Operator,Hail,362.2,2023
Excavator Operator,Riyadh,390.7,2023
Excavator Operator,Jeddah,362.5,2023
Excavator Operator,Makkah,352.6,2023
Excavator Operator,Madinah,334.8,2024
Excavator Operator,Dammam,347.5,2024
Excavator Operator,Khobar,368,2024
Excavator Operator,Taif,315.8,2023
Excavator Operator,Abha,321.3,2023
Excavator Operator,Tabuk,302,2025
Excavator Operator,Buraydah,343.8,2024
Excavator Operator,Khamis Mushait,302.4,2025
Excavator Operator,Najran,292.9,2025
Excavator Operator,Hail,298.9,2023
Safety Officer,Riyadh,353.9,2025
Safety Officer,Jeddah,336,2024
Safety Officer,Makkah,323,2023
Safety Officer,Madinah,328.7,2024
Safety Officer,Dammam,326.9,2023
Safety Officer,Khobar,348.3,2025
Safety Officer,Taif,288.5,2025
Safety Officer,Abha,283.8,2024
Safety Officer,Tabuk,282.6,2024
Safety Officer,Buraydah,299.5,2024
Safety Officer,Khamis Mushait,273.2,2023
Safety Officer,Najran,260.2,2024
Safety Officer,Hail,288.8,2025
Site Engineer,Riyadh,513.5,2025
Site Engineer,Jeddah,469.6,2025
Site Engineer,Makkah,456.3,2024
Site Engineer,Madinah,484.5,2025
Site Engineer,Dammam,470.7,2025
Site Engineer,Khobar,470.3,2024
Site Engineer,Taif,434.3,2023
Site Engineer,Abha,418.6,2023
Site Engineer,Tabuk,395.4,2025
Site Engineer,Buraydah,432.8,2023
Site Engineer,Khamis Mushait,400.4,2025
Site Engineer,Najran,388.7,2025
Site Engineer,Hail,409.5,2025
Surveyor,Riyadh,325.6,2023
Surveyor,Jeddah,304.4,2025
Surveyor,Makkah,294.8,2024
Surveyor,Madinah,278,2024
Surveyor,Dammam,270.5,2023
Surveyor,Khobar,296.6,2025
Surveyor,Taif,274.9,2023
Surveyor,Abha,253.8,2024
Surveyor,Tabuk,257.5,2024
Surveyor,Buraydah,284.6,2023
Surveyor,Khamis Mushait,254.7,2023
Surveyor,Najran,248.1,2024
Surveyor,Hail,265.8,2023
Supervisor,Riyadh,412.4,2023
Supervisor,Jeddah,369.5,2023
Supervisor,Makkah,369,2024
Supervisor,Madinah,358.1,2023
Supervisor,Dammam,385.9,2024
Supervisor,Khobar,380.9,2023
Supervisor,Taif,342.9,2023
Supervisor,Abha,318.2,2024
Supervisor,Tabuk,325.5,2024
Supervisor,Buraydah,340.3,2025
Supervisor,Khamis Mushait,306.7,2024
Supervisor,Najran,307.6,2023
Supervisor,Hail,322.8,2024
General Laborer,Riyadh,155.1,2023
General Laborer,Jeddah,143.6,2023
General Laborer,Makkah,136.7,2023
General Laborer,Madinah,134.3,2024
General Laborer,Dammam,140,2024
General Laborer,Khobar,139.3,2023
General Laborer,Taif,132.7,2023
General Laborer,Abha,124.7,2025
General Laborer,Tabuk,120,2024
General Laborer,Buraydah,126.2,2023
General Laborer,Khamis Mushait,117.6,2024
General Laborer,Najran,115.1,2023
General Laborer,Hail,124,2023
