equipment_name,category,city,daily_rate_sar,with_operator
Dump Truck,Transportation,Taif,646.7,true
Dump Truck,Transportation,Abha,642.1,true
Dump Truck,Transportation,Tabuk,633.6,false
Dump Truck,Transportation,Buraydah,706.2,false
Dump Truck,Transportation,Khamis Mushait,641.2,false
Dump Truck,Transportation,Najran,583.7,true
Dump Truck,Transportation,Hail,668.8,true
Compactor,Compaction,Riyadh,491.3,false
Compactor,Compaction,Jeddah,485,true
Compactor,Compaction,Makkah,444.8,true
Compactor,Compaction,Madinah,459.3,true
Compactor,Compaction,Dammam,452.8,true
Compactor,Compaction,Khobar,473.6,true
Compactor,Compaction,Taif,443.2,true
Compactor,Compaction,Abha,407.7,false
Compactor,Compaction,Tabuk,404.6,false
Compactor,Compaction,Buraydah,442.2,true
Compactor,Compaction,Khamis Mushait,384.1,true
Compactor,Compaction,Najran,367.8,true
Compactor,Compaction,Hail,393.9,true
Bulldozer,Excavation,Riyadh,2464.9,true
Bulldozer,Excavation,Jeddah,2210.1,true
Bulldozer,Excavation,Makkah,2284.6,false
Bulldozer,Excavation,Madinah,2183.6,true
Bulldozer,Excavation,Dammam,2445.2,true
Bulldozer,Excavation,Khobar,2364.7,true
Bulldozer,Excavation,Taif,2237.7,true
Bulldozer,Excavation,Abha,2079.5,true
Bulldozer,Excavation,Tabuk,1976.2,true
Bulldozer,Excavation,Buraydah,2184.5,true
Bulldozer,Excavation,Khamis Mushait,1917.8,true
Bulldozer,Excavation,Najran,1913.7,true
Bulldozer,Excavation,Hail,2074.9,false
Forklift,Lifting,Riyadh,717.9,true
Forklift,Lifting,Jeddah,654.6,true
Forklift,Lifting,Makkah,653.9,true
Forklift,Lifting,Madinah,629.5,false
Forklift,Lifting,Dammam,660.8,true
Forklift,Lifting,Khobar,702,true
Forklift,Lifting,Taif,584.8,false
Forklift,Lifting,Abha,629.6,true
Forklift,Lifting,Tabuk,547.7,true
Forklift,Lifting,Buraydah,594.3,true
Forklift,Lifting,Khamis Mushait,568,true
Forklift,Lifting,Najran,547.5,false
Forklift,Lifting,Hail,538.9,true
Scaffolding Set,Scaffolding,Riyadh,203.7,true
Scaffolding Set,Scaffolding,Jeddah,191.7,false
Scaffolding Set,Scaffolding,Makkah,194.1,true
Scaffolding Set,Scaffolding,Madinah,177,true
Scaffolding Set,Scaffolding,Dammam,186,true
Scaffolding Set,Scaffolding,Khobar,198.2,false
Scaffolding Set,Scaffolding,Taif,163.1,true
Scaffolding Set,Scaffolding,Abha,166.1,true
Scaffolding Set,Scaffolding,Tabuk,168.3,true
Scaffolding Set,Scaffolding,Buraydah,185.3,true
Scaffolding Set,Scaffolding,Khamis Mushait,164.9,true
Scaffolding Set,Scaffolding,Najran,162.4,true
Scaffolding Set,Scaffolding,Hail,163.2,false
Generator 50kVA,Electrical,Riyadh,337.3,true
Generator 50kVA,Electrical,Jeddah,340.7,false
Generator 50kVA,Electrical,Makkah,313.9,true
Generator 50kVA,Electrical,Madinah,311.2,false
Generator 50kVA,Electrical,Dammam,346,true
Generator 50kVA,Electrical,Khobar,329.5,true
Generator 50kVA,Electrical,Taif,309.3,true
Generator 50kVA,Electrical,Abha,282.3,true
Generator 50kVA,Electrical,Tabuk,276.6,false
Generator 50kVA,Electrical,Buraydah,310.6,false
Generator 50kVA,Electrical,Khamis Mushait,271.6,false
Generator 50kVA,Electrical,Najran,255.5,false
Generator 50kVA,Electrical,Hail,279.7,false
Welding Machine,Finishing,Riyadh,151.5,false
Welding Machine,Finishing,Jeddah,142.2,true
Welding Machine,Finishing,Makkah,135.3,true
Welding Machine,Finishing,Madinah,130.6,false
Welding Machine,Finishing,Dammam,142,true
Welding Machine,Finishing,Khobar,142.3,true
Welding Machine,Finishing,Taif,125,true
Welding Machine,Finishing,Abha,121.4,true
Welding Machine,Finishing,Tabuk,121.8,true
Welding Machine,Finishing,Buraydah,133.6,true
Welding Machine,Finishing,Khamis Mushait,119.9,true
Welding Machine,Finishing,Najran,106.8,true
Welding Machine,Finishing,Hail,128.7,true
Tower Crane,Lifting,Riyadh,5193,false
Tower Crane,Lifting,Jeddah,4933,true
Tower Crane,Lifting,Makkah,4690.3,false
Tower Crane,Lifting,Madinah,4413.9,true
Tower Crane,Lifting,Dammam,4730.4,true
Tower Crane,Lifting,Khobar,4870.1,true
Tower Crane,Lifting,Taif,4518.2,true
Tower Crane,Lifting,Abha,4214,false
Tower Crane,Lifting,Tabuk,4107.1,true
Tower Crane,Lifting,Buraydah,4220.6,true
Tower Crane,Lifting,Khamis Mushait,3773.9,true
Tower Crane,Lifting,Najran,4058.8,false
Tower Crane,Lifting,Hail,4070.5,true
