supplier_name,city,speciality,rating,delivery_speed_days,contract_years,compliance_percent,total_deals
Al-Zamil Steel - 88,Jeddah,General Construction,3.4,4,6,81,409
Saudi Technical Supply - 89,Khamis Mushait,Concrete,3.7,4,7,99,14
Southern Province Cement - 90,Khobar,Plumbing,2.9,19,10,92,28
Al-Babtain Group - 91,Madinah,Concrete,4.1,11,7,81,202
Saudi Building Materials Co. - 96,Riyadh,General Construction,4.5,16,2,87,339
Kone Saudi - 97,Taif,HVAC,3.2,15,4,92,32
Al-Ghurair - 98,Tabuk,Steel,3.1,10,1,88,236
Al-Dabbagh Group - 101,Madinah,Electrical,4.1,9,1,94,376
Saudi Technical Supply - 103,Tabuk,Concrete,3.9,14,8,98,91
Al-Omran Group - 104,Khobar,Plumbing,4.4,19,3,99,132
Bin Laden Group - 105,Buraydah,HVAC,4.3,17,3,91,11
Saudi Plaster - 106,Najran,Concrete,4.2,18,0,79,8
National Ready Mix - 107,Tabuk,General Construction,4.3,12,2,87,211
Saudi Ceramics - 108,Buraydah,Concrete,3.3,3,10,94,113
Al-Safi Danone - 111,Makkah,General Construction,4.3,21,7,86,324
Al-Madina Cement - 112,Tabuk,Plumbing,3.8,14,2,91,326
Saudi Panel - 116,Hail,Steel,4,15,6,88,467
Al-Safi Danone - 117,Makkah,Steel,4.4,2,3,99,21
Saudi Building Materials Co. - 118,Madinah,Steel,4.6,10,3,96,71
Saudi Glass - 119,Dammam,Finishing,4.6,17,6,97,476
Siemens Saudi - 121,Makkah,Concrete,4.4,7,4,84,391
Saudi Chemical Co. - 122,Dammam,HVAC,4.6,12,10,92,142
Al-Jabr Trading - 125,Dammam,Electrical,3.8,1,6,85,233
Al-Rajhi Steel - 126,Makkah,HVAC,4.3,20,2,76,69
Saudi Glass - 128,Madinah,Steel,4.5,3,9,86,105
Saudi Cable - 129,Khamis Mushait,Finishing,5.3,6,7,97,328
Arabian Construction Supply - 131,Taif,Concrete,4.3,16,0,78,279
Saudi Chemical Co. - 133,Hail,General Construction,4.2,14,8,75,86
Saudi Modern Factory - 134,Najran,HVAC,4,13,10,81,412
Arabian Pipes - 138,Hail,Steel,3.9,19,6,100,420
Al-Muhaidib Group - 140,Jeddah,Finishing,4.5,7,9,82,35
Kone Saudi - 141,Taif,Plumbing,4.1,15,9,90,54
National Gypsum - 143,Madinah,Finishing,3.8,19,7,92,361
Al-Muhaidib Group - 144,Madinah,Steel,3.4,19,9,96,14
Saudi Ceramics - 150,Makkah,General Construction,3.8,8,6,81,149
Saudi Chemical Co. - 156,Tabuk,Plumbing,3.4,19,2,79,423
Saudi Cable - 157,Makkah,Electrical,3.9,20,0,93,36
Al-Zamil Steel - 162,Khobar,Electrical,3.7,1,8,86,373
Sahara PVC - 165,Hail,Steel,3.2,16,5,99,496
Saudi Panel - 167,Hail,HVAC,3.9,15,9,82,377
Schneider Saudi - 168,Buraydah,Plumbing,4.5,20,2,81,219
Yamama Cement - 170,Buraydah,Finishing,4.1,9,3,75,50
Arabian Cement - 173,Abha,HVAC,3.4,7,3,97,113
Al-Babtain Group - 178,Taif,HVAC,3.6,3,10,89,192
Saudi Plaster - 180,Tabuk,Plumbing,4.9,17,5,84,31
Saudi Glass - 181,Najran,Concrete,4.6,7,4,98,208
Al-Jabr Trading - 184,Najran,Plumbing,3.4,17,8,90,114
Sahara PVC - 188,Jeddah,Electrical,3.9,15,3,76,243
Kone Saudi - 190,Tabuk,Electrical,4.4,8,3,97,101
Al-Wehaiby Co. - 191,Taif,Plumbing,4.7,12,5,77,240
Al-Safi Danone - 195,Khamis Mushait,Steel,3.8,6,4,82,488
Saudi Chemical Co. - 199,Hail,Finishing,4.6,6,9,98,57
