project_id,item_code,description_ar,category,unit,quantity,unit_price_sar,confidence,waste_factor
SA-R00011,04CE,Wall tiles,Ceramic,m2,17.92,49.87,83,0.1
SA-R00011,05EA,Backfilling,EarthWork,m3,115.08,19.29,95,0.05
SA-R00011,06CO,RC slabs,Concrete,m3,106.75,364.79,90,0.05
SA-R00011,07RE,Tie wire,Reinforcement,ton,108.53,2987.65,99,0.07
SA-R00011,08PL,Sanitary fitting,Plumbing,no,95.58,93.86,96,0.05
SA-R00011,09BL,Hollow concrete blocks 10cm,Block,m2,86.58,30.42,88,0.06
SA-R00011,10PL,Cement plaster internal,Plaster,m2,76.32,21.98,78,0.1
SA-R00011,11WA,Bitumen waterproofing,Waterproofing,m2,61.1,43.6,81,0.08
SA-R00012,01WA,Water stop,Waterproofing,m2,224.86,54.1,89,0.08
SA-R00012,02PL,Copper pipe 15mm,Plumbing,no,476.31,116.93,75,0.05
SA-R00012,03HV,Split AC unit,HVAC,no,505.51,2311.46,81,0.03
SA-R00012,04RE,Steel reinforcement 40ksi,Reinforcement,ton,514.65,3590.63,99,0.07
SA-R00012,05EL,Light point,Electrical,no,210.91,84.27,79,0.05
SA-R00012,06MA,Granite flooring,Marble,m2,366.33,172.6,91,0.08
SA-R00012,07CO,RC beams,Concrete,m3,110.49,435.5,80,0.05
SA-R00012,08PL,Cement plaster internal,Plaster,m2,136.75,26.15,98,0.1
SA-R00012,09WI,Aluminum window sliding,Windows,m2,132.82,698.56,86,0.05
SA-R00012,10CE,Ceramic tiles 40x40,Ceramic,m2,362.75,60.79,96,0.1
SA-R00012,11EL,Freight elevator,Elevator,no,260.49,237806.7,93,0.01
SA-R00013,01DO,Metal door,Doors,no,257.12,993.46,88,0.02
SA-R00013,02RE,Tie wire,Reinforcement,ton,1595.17,3131.1,88,0.07
SA-R00013,03PA,Anti-mold paint,Paint,m2,1404.94,14.84,93,0.1
SA-R00013,04HV,Split AC unit,HVAC,no,1117.6,2039.78,82,0.03
SA-R00013,05WI,Curtain wall,Windows,m2,1037.66,598.4,98,0.05
SA-R00013,06WA,Bitumen waterproofing,Waterproofing,m2,584.62,42.67,82,0.08
SA-R00013,07PL,Cement plaster external,Plaster,m2,901.33,23.57,98,0.1
SA-R00013,08CO,RC beams,Concrete,m3,421.68,362.99,92,0.05
SA-R00013,09FI,Fire extinguisher,FireFighting,no,1136.93,276.48,76,0.03
SA-R00014,01PL,Pump set,Plumbing,no,3383.82,103.18,77,0.05
SA-R00014,02EL,Escalator,Elevator,no,3299.21,224243.75,82,0.01
SA-R00014,03WI,Aluminum window fixed,Windows,m2,2411.57,595.91,89,0.05
SA-R00014,04MA,Marble cladding,Marble,m2,3852,153.42,81,0.08
SA-R00014,05PL,Cement plaster internal,Plaster,m2,4122.16,23.3,92,0.1
SA-R00014,06HV,Ducted AC,HVAC,no,581.67,2193.1,81,0.03
SA-R00014,07BL,Hollow concrete blocks 20cm,Block,m2,3597.99,33.33,82,0.06
SA-R00014,08WA,Polymer waterproofing,Waterproofing,m2,3263.46,46.81,78,0.08
SA-R00014,09RE,Steel reinforcement 60ksi,Reinforcement,ton,2950.78,3277.59,89,0.07
SA-R00014,10CE,Ceramic tiles 40x40,Ceramic,m2,4110.9,56.25,92,0.1
SA-R00014,11FI,Sprinkler head,FireFighting,no,1774.84,288.97,89,0.03
SA-R00014,12PA,Emulsion paint internal,Paint,m2,641.86,15.36,84,0.1
SA-R00015,01EA,Soil compaction,EarthWork,m3,19862.17,21.72,95,0.05
SA-R00015,02CE,Skirting,Ceramic,m2,7074.08,55.6,76,0.1
SA-R00015,03DO,Wooden door,Doors,no,7880.42,1119.75,75,0.02
SA-R00015,04PL,Floor drain,Plumbing,no,21049.87,110.89,93,0.05
SA-R00015,05CO,Plain concrete (PC),Concrete,m3,8190.36,423.16,95,0.05
SA-R00015,06EL,Wire 2.5mm,Electrical,no,20308.25,78.16,78,0.05
SA-R00015,07FI,Emergency light,FireFighting,no,11682.56,323.99,85,0.03
SA-R00016,01WI,Curtain wall,Windows,m2,9613.69,729.13,86,0.05
SA-R00016,02PL,Scratch coat,Plaster,m2,5715.93,25.3,97,0.1
SA-R00016,03EA,Trench excavation,EarthWork,m3,1683.41,22.94,87,0.05
SA-R00016,04CE,Porcelain tiles 60x60,Ceramic,m2,5390.18,64.09,80,0.1
SA-R00016,05WA,Polymer waterproofing,Waterproofing,m2,5264.71,55.04,91,0.08
SA-R00016,06MA,Marble cladding,Marble,m2,9599.7,171.29,91,0.08
SA-R00016,07PL,Grey water pipe,Plumbing,no,6118.91,113.05,94,0.05
SA-R00016,08CO,RC beams,Concrete,m3,7119.92,437.82,91,0.05
SA-R00017,01EL,Freight elevator,Elevator,no,24.21,217973.36,98,0.01
SA-R00017,02DO,Sliding door,Doors,no,17.47,1031.38,86,0.02
SA-R00017,03EA,Site grading,EarthWork,m3,97.64,22.3,95,0.05
SA-R00017,04WA,Water stop,Waterproofing,m2,72.04,47.73,91,0.08
SA-R00017,05FI,Fire extinguisher,FireFighting,no,72.37,313.42,98,0.03
SA-R00017,06PA,Textured paint,Paint,m2,100.41,16.87,89,0.1
SA-R00017,07CO,RC beams,Concrete,m3,65.3,390.15,82,0.05
SA-R00018,01HV,Split AC unit,HVAC,no,666.82,2286.6,94,0.03
SA-R00018,02DO,Sliding door,Doors,no,1547.86,1083.72,79,0.02
SA-R00018,03BL,Hollow concrete blocks 15cm,Block,m2,633.92,40.38,87,0.06
SA-R00018,04FI,Fire hose cabinet,FireFighting,no,2947.43,316.31,92,0.03
SA-R00018,05WI,Curtain wall,Windows,m2,758.03,687.34,88,0.05
SA-R00019,01WA,Water stop,Waterproofing,m2,675.95,53.07,97,0.08
SA-R00019,02HV,Air handling unit,HVAC,no,1722.66,2405.3,75,0.03
SA-R00019,03CO,RC beams,Concrete,m3,1421.01,412.48,87,0.05
SA-R00019,04DO,UPVC door,Doors,no,1543.35,1110.24,95,0.02
SA-R00019,05EA,Site grading,EarthWork,m3,999.9,23.73,96,0.05
SA-R00019,06MA,Granite flooring,Marble,m2,586.18,167.25,84,0.08
SA-R00019,07BL,Hollow concrete blocks 10cm,Block,m2,388.25,40.65,94,0.06
SA-R00019,08FI,Smoke detector,FireFighting,no,1171.12,325.45,91,0.03
SA-R00019,09EL,Passenger elevator 6 stop,Elevator,no,1286.47,246934.66,95,0.01
SA-R00020,01CE,Ceramic tiles 40x40,Ceramic,m2,305.08,55.71,86,0.1
SA-R00020,02CO,RC shear walls,Concrete,m3,238.89,415.69,89,0.05
SA-R00020,03RE,Tie wire,Reinforcement,ton,401.23,3259.5,81,0.07
SA-R00020,04HV,Exhaust fan,HVAC,no,458.37,2304.17,99,0.03
SA-R00020,05EL,PVC conduit,Electrical,no,503.77,72.4,92,0.05
SA-R00021,01PL,Grey water pipe,Plumbing,no,1328.52,112.05,89,0.05
SA-R00021,02PA,Oil paint external,Paint,m2,1605.58,17.34,85,0.1
SA-R00021,03BL,AAC blocks,Block,m2,1665.87,38.23,87,0.06
SA-R00021,04EL,MCB,Electrical,no,1735.13,74.88,92,0.05
SA-R00021,05HV,Split AC unit,HVAC,no,1054.89,2411.04,96,0.03
SA-R00021,06FI,Smoke detector,FireFighting,no,507.55,328.9,90,0.03
SA-R00021,07WA,Polymer waterproofing,Waterproofing,m2,1278.75,52.2,80,0.08
SA-R00021,08DO,Wooden door,Doors,no,1172.92,1056.73,90,0.02
SA-R00021,09WI,Aluminum window sliding,Windows,m2,1364.81,741.25,94,0.05
SA-R00021,10MA,Marble cladding,Marble,m2,1155.45,176.47,87,0.08
SA-R00021,11CE,Wall tiles,Ceramic,m2,1689.15,63.43,81,0.1
SA-R00021,12PL,Scratch coat,Plaster,m2,533.84,25.56,82,0.1
SA-R00022,01CE,Wall tiles,Ceramic,m2,25572.38,57.87,94,0.1
SA-R00022,02PL,Floor drain,Plumbing,no,16595.04,102.61,97,0.05
SA-R00022,03BL,AAC blocks,Block,m2,28949.31,34.06,88,0.06
SA-R00022,04HV,Air handling unit,HVAC,no,13528.71,2226.05,99,0.03
SA-R00022,05FI,Sprinkler head,FireFighting,no,19436.28,302.87,96,0.03
SA-R00022,06PL,Scratch coat,Plaster,m2,34261.53,23.97,80,0.1
SA-R00023,01HV,Air handling unit,HVAC,no,706.46,2331.24,82,0.03
SA-R00023,02EA,Trench excavation,EarthWork,m3,1471.1,22.51,85,0.05
SA-R00023,03PA,Oil paint external,Paint,m2,1388.51,14.98,76,0.1
SA-R00023,04EL,Freight elevator,Elevator,no,1067.05,228912.16,75,0.01
SA-R00023,05DO,Fire rated door,Doors,no,1584.06,1074.61,92,0.02
SA-R00023,06RE,Tie wire,Reinforcement,ton,1368.36,3422.72,91,0.07
SA-R00024,01CO,RC stairs,Concrete,m3,966.18,402.68,85,0.05
SA-R00024,02CE,Skirting,Ceramic,m2,283.75,60.41,82,0.1
SA-R00024,03EL,Cable tray,Electrical,no,753.94,77.22,93,0.05
SA-R00024,04DO,Wooden door,Doors,no,433.19,1059.14,83,0.02
SA-R00024,05HV,Split AC unit,HVAC,no,697.56,2265.17,89,0.03
SA-R00024,06RE,Steel reinforcement 60ksi,Reinforcement,ton,784.92,3467.83,83,0.07
SA-R00024,07PL,Cement plaster internal,Plaster,m2,252.02,24.23,78,0.1
SA-R00024,08EL,Escalator,Elevator,no,833.45,222805.48,87,0.01
SA-R00024,09MA,Marble flooring,Marble,m2,867.36,169.09,83,0.08
SA-R00024,10WA,Bitumen waterproofing,Waterproofing,m2,1013.79,46.13,83,0.08
SA-R00024,11BL,Hollow concrete blocks 10cm,Block,m2,261.53,36.91,75,0.06
SA-R00025,01RE,Steel mesh,Reinforcement,ton,853.81,3349.2,85,0.07
SA-R00025,02CE,Skirting,Ceramic,m2,730.75,57.03,86,0.1
SA-R00025,03BL,Hollow concrete blocks 15cm,Block,m2,3214.09,38.49,80,0.06
SA-R00025,04PL,Grey water pipe,Plumbing,no,3730.81,105.26,80,0.05
SA-R00025,05DO,Fire rated door,Doors,no,1502.82,1057.98,80,0.02
SA-R00025,06FI,Fire alarm panel,FireFighting,no,1025.44,323.08,89,0.03
SA-R00025,07EL,Passenger elevator 6 stop,Elevator,no,1211.32,221335.1,88,0.01
SA-R00026,01FI,Fire alarm panel,FireFighting,no,265.45,259.72,89,0.03
SA-R00026,02WA,Liquid membrane,Waterproofing,m2,205.51,42.16,84,0.08
SA-R00026,03EA,Excavation for foundations,EarthWork,m3,780.1,18.96,90,0.05
SA-R00026,04EL,Cable tray,Electrical,no,922.55,67.19,92,0.05
SA-R00026,05CO,RC stairs,Concrete,m3,230.13,358.08,76,0.05
SA-R00026,06WI,Aluminum window fixed,Windows,m2,671.08,566.85,97,0.05
SA-R00026,07HV,Air handling unit,HVAC,no,574.33,1858.67,91,0.03
SA-R00026,08EL,Passenger elevator 6 stop,Elevator,no,759.46,193750.46,75,0.01
SA-R00026,09MA,Granite flooring,Marble,m2,608.94,136.87,92,0.08
SA-R00026,10PA,Oil paint external,Paint,m2,705.56,14.18,82,0.1
SA-R00026,11DO,Metal door,Doors,no,383.16,905.75,79,0.02
SA-R00026,12RE,Tie wire,Reinforcement,ton,206.5,2888.78,79,0.07
SA-R00027,01EL,Escalator,Elevator,no,14041.05,187412.82,97,0.01
SA-R00027,02BL,AAC blocks,Block,m2,10933.33,32.47,75,0.06
SA-R00027,03FI,Fire hose cabinet,FireFighting,no,22038.94,253.62,92,0.03
SA-R00027,04RE,Steel reinforcement 60ksi,Reinforcement,ton,12967.9,2811.57,97,0.07
SA-R00027,05WI,Glass partition,Windows,m2,9657.46,551.24,78,0.05
SA-R00027,06WA,Polymer waterproofing,Waterproofing,m2,15989.23,43.06,88,0.08
SA-R00027,07DO,UPVC door,Doors,no,17660.41,883.61,92,0.02
SA-R00027,08EL,Wire 4mm,Electrical,no,15915.45,66.38,96,0.05
SA-R00028,01HV,Air handling unit,HVAC,no,824.36,2122.7,97,0.03
SA-R00028,02MA,Granite flooring,Marble,m2,788.92,148.1,85,0.08
SA-R00028,03WI,Glass partition,Windows,m2,584.63,582.03,97,0.05
SA-R00028,04EL,MCB,Electrical,no,1097.46,71.87,75,0.05
SA-R00028,05EL,Freight elevator,Elevator,no,624.55,202445.44,94,0.01
SA-R00029,01EA,Backfilling,EarthWork,m3,3659.37,21.52,96,0.05
SA-R00029,02CO,RC columns,Concrete,m3,2739.87,372.46,84,0.05
SA-R00029,03FI,Emergency light,FireFighting,no,2025.16,300.49,98,0.03
SA-R00029,04CE,Skirting,Ceramic,m2,1060.96,51.64,86,0.1
SA-R00029,05EL,Wire 2.5mm,Electrical,no,4209.27,71.58,82,0.05
SA-R00030,01CE,Mosaic tiles,Ceramic,m2,1890.49,51.37,79,0.1
SA-R00030,02EL,Freight elevator,Elevator,no,8099.86,181129.5,93,0.01
SA-R00030,03PL,Cement plaster external,Plaster,m2,1741.02,23.05,87,0.1
SA-R00030,04FI,Smoke detector,FireFighting,no,7912.03,279.55,99,0.03
SA-R00030,05BL,Concrete bricks,Block,m2,8003.45,31.14,85,0.06
SA-R00030,06WA,Polymer waterproofing,Waterproofing,m2,1827.04,40.41,76,0.08
SA-R00030,07DO,Metal door,Doors,no,2088.68,883.62,94,0.02
SA-R00030,08WI,Glass partition,Windows,m2,1417.64,578.48,83,0.05
SA-R00030,09EL,Switch socket,Electrical,no,6590.56,66.97,87,0.05
SA-R00030,10RE,Steel reinforcement 60ksi,Reinforcement,ton,4710.96,2775.11,87,0.07
SA-R00030,11CO,RC stairs,Concrete,m3,4765.03,359.44,77,0.05
SA-R00031,01PL,Pump set,Plumbing,no,26.78,94.29,87,0.05
SA-R00031,02RE,Steel reinforcement 60ksi,Reinforcement,ton,140.23,3014.08,80,0.07
SA-R00031,03MA,Marble cladding,Marble,m2,48.05,147.32,78,0.08
SA-R00031,04BL,Hollow concrete blocks 10cm,Block,m2,103.54,36.04,86,0.06
SA-R00031,05PA,Anti-mold paint,Paint,m2,84.45,14.89,90,0.1
SA-R00031,06HV,Ducted AC,HVAC,no,59.66,2023.45,93,0.03
SA-R00031,07CO,RC stairs,Concrete,m3,70.59,370.49,98,0.05
SA-R00031,08WA,Water stop,Waterproofing,m2,53.82,44.54,98,0.08
SA-R00031,09EL,Escalator,Elevator,no,36.36,224288.84,85,0.01
SA-R00031,10PL,Scratch coat,Plaster,m2,117.53,23.22,95,0.1
SA-R00032,01DO,Sliding door,Doors,no,1246.9,1105.54,84,0.02
SA-R00032,02CE,Skirting,Ceramic,m2,1415.95,61.4,98,0.1
SA-R00032,03EA,Trench excavation,EarthWork,m3,533.74,22.99,80,0.05
SA-R00032,04CO,Reinforced concrete (RC) foundations,Concrete,m3,214.36,412.84,97,0.05
SA-R00032,05RE,Steel mesh,Reinforcement,ton,1270.49,3452.5,85,0.07
SA-R00032,06MA,Marble flooring,Marble,m2,1617.75,162.02,93,0.08
SA-R00032,07BL,Hollow concrete blocks 10cm,Block,m2,296.59,39.41,89,0.06
SA-R00032,08PA,Textured paint,Paint,m2,227.23,16.61,96,0.1
SA-R00032,09EL,Light point,Electrical,no,717.67,79.36,89,0.05
SA-R00032,10PL,Cement plaster internal,Plaster,m2,627.52,24.72,80,0.1
SA-R00033,01EA,Backfilling,EarthWork,m3,12741.17,20.51,96,0.05
SA-R00033,02CO,Lightweight concrete screed,Concrete,m3,13132.29,346.72,80,0.05
SA-R00033,03PL,Scratch coat,Plaster,m2,30241.13,22.78,87,0.1
SA-R00033,04PA,Textured paint,Paint,m2,18009.7,13.94,75,0.1
SA-R00033,05HV,Diffuser,HVAC,no,38732.56,2049.13,85,0.03
SA-R00033,06RE,Steel mesh,Reinforcement,ton,7601.77,3142.71,84,0.07
SA-R00033,07PL,Water tank GRP,Plumbing,no,32964.21,94.33,81,0.05
SA-R00033,08EL,Earthing system,Electrical,no,39798.96,70.58,94,0.05
SA-R00033,09EL,Passenger elevator 10 stop,Elevator,no,17844.89,199805.03,84,0.01
SA-R00033,10WI,Glass partition,Windows,m2,18644.55,623.36,99,0.05
SA-R00033,11MA,Granite countertop,Marble,m2,36118.01,145.91,81,0.08
SA-R00033,12CE,Porcelain tiles 60x60,Ceramic,m2,25398.31,52.06,92,0.1
SA-R00034,01DO,Fire rated door,Doors,no,77008.25,945.61,97,0.02
SA-R00034,02WA,Water stop,Waterproofing,m2,47948.89,45.39,95,0.08
SA-R00034,03WI,Glass partition,Windows,m2,42379.73,574.94,80,0.05
SA-R00034,04CE,Skirting,Ceramic,m2,54922.36,50.89,85,0.1
SA-R00034,05FI,Fire extinguisher,FireFighting,no,55330.37,279.44,88,0.03
SA-R00034,06EA,Trench excavation,EarthWork,m3,19092.47,20.4,99,0.05
SA-R00035,01EL,Freight elevator,Elevator,no,106.27,208781.4,89,0.01
SA-R00035,02EA,Excavation for foundations,EarthWork,m3,171.29,22,87,0.05
SA-R00035,03CO,RC columns,Concrete,m3,209.33,382.56,92,0.05
SA-R00035,04PL,Floor drain,Plumbing,no,162.09,107.09,87,0.05
SA-R00035,05FI,Emergency light,FireFighting,no,345.13,302.16,86,0.03
SA-R00035,06DO,UPVC door,Doors,no,262.14,1081.29,88,0.02
SA-R00035,07PL,Scratch coat,Plaster,m2,286.94,24.64,96,0.1
SA-R00035,08HV,Ductwork,HVAC,no,311.22,2238.18,76,0.03
SA-R00035,09MA,Marble flooring,Marble,m2,355.76,160.77,76,0.08
SA-R00035,10PA,Oil paint external,Paint,m2,373.53,15.86,94,0.1
SA-R00035,11RE,Steel reinforcement 40ksi,Reinforcement,ton,204.97,3271.72,94,0.07
SA-R00035,12BL,Hollow concrete blocks 15cm,Block,m2,320.24,35.59,94,0.06
SA-R00036,01PA,Emulsion paint internal,Paint,m2,253.54,16.82,79,0.1
SA-R00036,02PL,Pump set,Plumbing,no,80.58,104.83,88,0.05
SA-R00036,03EL,Switch socket,Electrical,no,284.93,71.77,94,0.05
SA-R00036,04RE,Steel mesh,Reinforcement,ton,414.3,3316.83,84,0.07
SA-R00036,05MA,Granite flooring,Marble,m2,316.41,147.73,96,0.08
SA-R00037,01BL,AAC blocks,Block,m2,5819.38,42.69,88,0.06
SA-R00037,02EL,Freight elevator,Elevator,no,23589.06,257656,83,0.01
SA-R00037,03RE,Steel mesh,Reinforcement,ton,5737.8,3723.65,86,0.07
SA-R00037,04PL,Gypsum plaster,Plaster,m2,6040.64,27.41,91,0.1
SA-R00037,05PL,Pump set,Plumbing,no,15086.65,116.81,75,0.05
SA-R00038,01WI,Aluminum window fixed,Windows,m2,55644.85,576.48,76,0.05
SA-R00038,02PL,Cement plaster internal,Plaster,m2,26784.37,22.76,87,0.1
SA-R00038,03EL,PVC conduit,Electrical,no,61169.78,71.1,90,0.05
SA-R00038,04PL,Water heater,Plumbing,no,73105.51,95.22,99,0.05
SA-R00038,05EA,Site grading,EarthWork,m3,54346.79,20.69,76,0.05
SA-R00038,06WA,Bitumen waterproofing,Waterproofing,m2,64398.72,46.2,79,0.08
SA-R00038,07CE,Wall tiles,Ceramic,m2,72341.93,49.82,90,0.1
SA-R00038,08HV,Exhaust fan,HVAC,no,68407.21,1917.25,95,0.03
SA-R00039,01PA,Emulsion paint internal,Paint,m2,505.94,14.25,87,0.1
SA-R00039,02PL,Cement plaster external,Plaster,m2,452.47,20.73,88,0.1
SA-R00039,03HV,Diffuser,HVAC,no,344.83,1831.77,97,0.03
SA-R00039,04BL,Concrete bricks,Block,m2,233.5,33.03,98,0.06
SA-R00039,05FI,Fire hose cabinet,FireFighting,no,347.64,261.18,91,0.03
SA-R00039,06DO,Sliding door,Doors,no,191.9,845.94,85,0.02
SA-R00039,07PL,Water tank GRP,Plumbing,no,86.68,93.23,93,0.05
SA-R00039,08WA,Bitumen waterproofing,Waterproofing,m2,434.62,41.66,84,0.08
SA-R00039,09RE,Steel reinforcement 60ksi,Reinforcement,ton,249.04,2890.57,94,0.07
SA-R00040,01PL,Cement plaster internal,Plaster,m2,2503.04,24.49,81,0.1
SA-R00040,02HV,Ducted AC,HVAC,no,5085.17,2464.22,98,0.03
